CODUSU,NRO_HOGAR,COMPONENTE,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,ITF,P21,CAT_OCUP,PP03J,ANO,HOGAR_ID,ADULTO_EQUIVALENTE,AD_EQUIV_HOGAR,INGRESO_NECESARIO,POBRE,EDAD,edad2,educ,ingreso_total_familiar,horastrab_x,horastrab_y,miembros_hogar,horastrab
TQRMNOPRUHLLKQCDEIJAH00878112,1.0,1,2,94.0,4.0,1.0,1,3,1.0,350000.0,350000.0,0.0,0.0,,2025,TQRMNOPRUHLLKQCDEIJAH00878112_1.0,0.63,0.63,230061.51,0,94.0,8836.0,3,350000.0,,,1,
TQRMNOQVQHLLKQCDEIJAH00855672,1.0,1,2,61.0,4.0,4.0,4,2,0.0,261000.0,522000.0,0.0,0.0,,2025,TQRMNOQVQHLLKQCDEIJAH00855672_1.0,0.67,1.69,617149.13,1,61.0,3721.0,12,522000.0,,,2,
TQRMNOQVQHLLKQCDEIJAH00855672,1.0,2,1,22.0,5.0,4.0,3,1,0.0,261000.0,522000.0,144000.0,3.0,1.0,2025,TQRMNOQVQHLLKQCDEIJAH00855672_1.0,1.02,1.69,617149.13,1,22.0,484.0,9,522000.0,,,2,
TQRMNOUVXHLLMLCDEIIAD00854912,1.0,1,1,46.0,1.0,1.0,3,1,0.0,1072500.0,2145000.0,730000.0,3.0,2.0,2025,TQRMNOUVXHLLMLCDEIIAD00854912_1.0,1.0,1.77,646363.29,0,46.0,2116.0,9,2145000.0,,,2,49.0
TQRMNOUVXHLLMLCDEIIAD00854912,1.0,2,2,38.0,1.0,1.0,3,1,0.0,1072500.0,2145000.0,650000.0,3.0,2.0,2025,TQRMNOUVXHLLMLCDEIIAD00854912_1.0,0.77,1.77,646363.29,0,38.0,1444.0,9,2145000.0,,,2,49.0
TQRMNOSUSHMLQSCDEIJAH00877972,1.0,1,2,32.0,1.0,12.0,6,1,0.0,1180000.0,3540000.0,840000.0,3.0,2.0,2025,TQRMNOSUSHMLQSCDEIJAH00877972_1.0,0.77,2.14,781478.78,0,32.0,1024.0,17,3540000.0,,,3,18.0
TQRMNOSUSHMLQSCDEIJAH00877972,1.0,2,1,40.0,1.0,2.0,6,1,0.0,1180000.0,3540000.0,1800000.0,3.0,2.0,2025,TQRMNOSUSHMLQSCDEIJAH00877972_1.0,1.0,2.14,781478.78,0,40.0,1600.0,17,3540000.0,,,3,18.0
TQRMNOSUSHMLQSCDEIJAH00877972,1.0,3,1,1.0,5.0,12.0,7,4,5.0,1180000.0,3540000.0,0.0,0.0,,2025,TQRMNOSUSHMLQSCDEIJAH00877972_1.0,0.37,2.14,781478.78,0,1.0,1.0,0,3540000.0,,,3,18.0
TQRMNORWTHJMQUCDEIJAH00876883,1.0,1,1,62.0,5.0,1.0,7,1,0.0,800000.0,800000.0,800000.0,2.0,2.0,2025,TQRMNORWTHJMQUCDEIJAH00876883_1.0,0.83,0.83,303096.91,0,62.0,3844.0,0,800000.0,,,1,36.0
TQRMNORYXHLNQTCDEIJAH00855515,1.0,1,1,45.0,2.0,4.0,2,1,0.0,271666.67,815000.0,600000.0,3.0,2.0,2025,TQRMNORYXHLNQTCDEIJAH00855515_1.0,1.0,2.54,927549.58,1,45.0,2025.0,7,815000.0,,,3,60.0
