"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2014","755.00","755.00","755.00","755.00","","-3.45%"
"07/15/2014","782.00","782.00","782.00","782.00","","-2.01%"
"07/14/2014","798.00","798.00","798.00","798.00","","-1.97%"
"07/11/2014","814.00","814.00","814.00","814.00","","-2.63%"
"07/10/2014","836.00","836.00","836.00","836.00","","-3.13%"
"07/09/2014","863.00","863.00","863.00","863.00","","-2.04%"
"07/08/2014","881.00","881.00","881.00","881.00","","-0.79%"
"07/07/2014","888.00","888.00","888.00","888.00","","-0.56%"
"07/04/2014","893.00","893.00","893.00","893.00","","0.34%"
"07/03/2014","890.00","890.00","890.00","890.00","","0.00%"
"07/02/2014","890.00","890.00","890.00","890.00","","-0.45%"
"07/01/2014","894.00","894.00","894.00","894.00","","5.18%"
"06/30/2014","850.00","850.00","850.00","850.00","","2.29%"
"06/27/2014","831.00","831.00","831.00","831.00","","0.85%"
"06/26/2014","824.00","824.00","824.00","824.00","","-2.60%"
"06/25/2014","846.00","846.00","846.00","846.00","","-2.42%"
"06/24/2014","867.00","867.00","867.00","867.00","","-2.14%"
"06/23/2014","886.00","886.00","886.00","886.00","","-1.99%"
"06/20/2014","904.00","904.00","904.00","904.00","","0.22%"
"06/19/2014","902.00","902.00","902.00","902.00","","4.04%"
"06/18/2014","867.00","867.00","867.00","867.00","","1.05%"
"06/17/2014","858.00","858.00","858.00","858.00","","-2.50%"
"06/16/2014","880.00","880.00","880.00","880.00","","-2.87%"
"06/13/2014","906.00","906.00","906.00","906.00","","-3.51%"
"06/12/2014","939.00","939.00","939.00","939.00","","-3.49%"
"06/11/2014","973.00","973.00","973.00","973.00","","-3.09%"
"06/10/2014","1,004.00","1,004.00","1,004.00","1,004.00","","0.50%"
"06/09/2014","999.00","999.00","999.00","999.00","","1.01%"
"06/06/2014","989.00","989.00","989.00","989.00","","1.23%"
"06/05/2014","977.00","977.00","977.00","977.00","","1.88%"
"06/04/2014","959.00","959.00","959.00","959.00","","1.16%"
"06/03/2014","948.00","948.00","948.00","948.00","","1.50%"
"06/02/2014","934.00","934.00","934.00","934.00","","0.00%"
"05/30/2014","934.00","934.00","934.00","934.00","","-0.64%"
"05/29/2014","940.00","940.00","940.00","940.00","","-1.47%"
"05/28/2014","954.00","954.00","954.00","954.00","","-1.95%"
"05/27/2014","973.00","973.00","973.00","973.00","","0.93%"
"05/23/2014","964.00","964.00","964.00","964.00","","-0.21%"
"05/22/2014","966.00","966.00","966.00","966.00","","-2.23%"
"05/21/2014","988.00","988.00","988.00","988.00","","-2.18%"
"05/20/2014","1,010.00","1,010.00","1,010.00","1,010.00","","-1.17%"
"05/19/2014","1,022.00","1,022.00","1,022.00","1,022.00","","-0.49%"
"05/16/2014","1,027.00","1,027.00","1,027.00","1,027.00","","0.59%"
"05/15/2014","1,021.00","1,021.00","1,021.00","1,021.00","","1.90%"
"05/14/2014","1,002.00","1,002.00","1,002.00","1,002.00","","2.04%"
"05/13/2014","982.00","982.00","982.00","982.00","","-0.51%"
"05/12/2014","987.00","987.00","987.00","987.00","","-1.00%"
"05/09/2014","997.00","997.00","997.00","997.00","","-1.09%"
"05/08/2014","1,008.00","1,008.00","1,008.00","1,008.00","","-1.37%"
"05/07/2014","1,022.00","1,022.00","1,022.00","1,022.00","","0.00%"
"05/06/2014","1,022.00","1,022.00","1,022.00","1,022.00","","0.49%"
"05/05/2014","1,017.00","1,017.00","1,017.00","1,017.00","","0.00%"
"05/02/2014","1,017.00","1,017.00","1,017.00","1,017.00","","2.42%"
"05/01/2014","993.00","943.00","993.00","943.00","","5.30%"
"04/30/2014","943.00","943.00","943.00","943.00","","-0.63%"
"04/29/2014","949.00","949.00","949.00","949.00","","-1.25%"
"04/28/2014","961.00","961.00","961.00","961.00","","-0.62%"
"04/25/2014","967.00","967.00","967.00","967.00","","0.52%"
"04/24/2014","962.00","962.00","962.00","962.00","","0.63%"
"04/23/2014","956.00","956.00","956.00","956.00","","1.81%"
"04/22/2014","939.00","939.00","939.00","939.00","","0.97%"
"04/17/2014","930.00","930.00","930.00","930.00","","-0.64%"
"04/16/2014","936.00","936.00","936.00","936.00","","-3.51%"
"04/15/2014","970.00","970.00","970.00","970.00","","-1.92%"
"04/14/2014","989.00","989.00","989.00","989.00","","-1.30%"
"04/11/2014","1,002.00","1,002.00","1,002.00","1,002.00","","-2.62%"
"04/10/2014","1,029.00","1,029.00","1,029.00","1,029.00","","-3.02%"
"04/09/2014","1,061.00","1,061.00","1,061.00","1,061.00","","-3.37%"
"04/08/2014","1,098.00","1,098.00","1,098.00","1,098.00","","-7.42%"
"04/07/2014","1,186.00","1,186.00","1,186.00","1,186.00","","-1.58%"
"04/04/2014","1,205.00","1,205.00","1,205.00","1,205.00","","-2.43%"
"04/03/2014","1,235.00","1,235.00","1,235.00","1,235.00","","-2.99%"
"04/02/2014","1,273.00","1,273.00","1,273.00","1,273.00","","-3.27%"
"04/01/2014","1,316.00","1,316.00","1,316.00","1,316.00","","-3.38%"
"03/31/2014","1,362.00","1,362.00","1,362.00","1,362.00","","-0.80%"
"03/28/2014","1,373.00","1,373.00","1,373.00","1,373.00","","-2.76%"
"03/27/2014","1,412.00","1,412.00","1,412.00","1,412.00","","-5.61%"
"03/26/2014","1,496.00","1,496.00","1,496.00","1,496.00","","-5.20%"
"03/25/2014","1,578.00","1,578.00","1,578.00","1,578.00","","-1.50%"
"03/24/2014","1,602.00","1,602.00","1,602.00","1,602.00","","0.19%"
"03/21/2014","1,599.00","1,599.00","1,599.00","1,599.00","","-1.36%"
"03/20/2014","1,621.00","1,621.00","1,621.00","1,621.00","","3.25%"
"03/19/2014","1,570.00","1,570.00","1,570.00","1,570.00","","3.43%"
"03/18/2014","1,518.00","1,518.00","1,518.00","1,518.00","","2.50%"
"03/17/2014","1,481.00","1,481.00","1,481.00","1,481.00","","0.27%"
"03/14/2014","1,477.00","1,477.00","1,477.00","1,477.00","","0.61%"
"03/13/2014","1,468.00","1,468.00","1,468.00","1,468.00","","1.03%"
"03/12/2014","1,453.00","1,453.00","1,453.00","1,453.00","","-8.04%"
"03/11/2014","1,580.00","1,580.00","1,580.00","1,580.00","","1.15%"
"03/10/2014","1,562.00","1,562.00","1,562.00","1,562.00","","1.23%"
"03/07/2014","1,543.00","1,543.00","1,543.00","1,543.00","","4.26%"
"03/06/2014","1,480.00","1,480.00","1,480.00","1,480.00","","6.40%"
"03/05/2014","1,391.00","1,391.00","1,391.00","1,391.00","","4.98%"
"03/04/2014","1,325.00","1,325.00","1,325.00","1,325.00","","3.84%"
"03/03/2014","1,276.00","1,276.00","1,276.00","1,276.00","","1.43%"
"02/28/2014","1,258.00","1,258.00","1,258.00","1,258.00","","0.64%"
"02/27/2014","1,250.00","1,250.00","1,250.00","1,250.00","","2.29%"
"02/26/2014","1,222.00","1,222.00","1,222.00","1,222.00","","2.09%"
"02/25/2014","1,197.00","1,197.00","1,197.00","1,197.00","","1.96%"
"02/24/2014","1,174.00","1,174.00","1,174.00","1,174.00","","-0.09%"
"02/21/2014","1,175.00","1,175.00","1,175.00","1,175.00","","0.95%"
"02/20/2014","1,164.00","1,164.00","1,164.00","1,164.00","","0.34%"
"02/19/2014","1,160.00","1,160.00","1,160.00","1,160.00","","1.22%"
"02/18/2014","1,146.00","1,146.00","1,146.00","1,146.00","","1.42%"
"02/17/2014","1,130.00","1,130.00","1,130.00","1,130.00","","2.17%"
"02/14/2014","1,106.00","1,106.00","1,106.00","1,106.00","","0.82%"
"02/13/2014","1,097.00","1,097.00","1,097.00","1,097.00","","1.11%"
"02/12/2014","1,085.00","1,085.00","1,085.00","1,085.00","","-0.55%"
