date,open,high,low,close,volume,commodity
2014-11-25,1313.0,1313.0,1313.0,1313.0,0,Baltic_Dry_Index
2014-11-26,1239.0,1239.0,1239.0,1239.0,0,Baltic_Dry_Index
2014-11-27,1187.0,1187.0,1187.0,1187.0,0,Baltic_Dry_Index
2014-11-28,1153.0,1153.0,1153.0,1153.0,0,Baltic_Dry_Index
2014-12-01,1137.0,1137.0,1137.0,1137.0,0,Baltic_Dry_Index
2014-12-02,1119.0,1119.0,1119.0,1119.0,0,Baltic_Dry_Index
2014-12-03,1079.0,1079.0,1079.0,1079.0,0,Baltic_Dry_Index
2014-12-04,1019.0,1019.0,1019.0,1019.0,0,Baltic_Dry_Index
2014-12-05,982.0,982.0,982.0,982.0,0,Baltic_Dry_Index
2014-12-08,952.0,952.0,952.0,952.0,0,Baltic_Dry_Index
2014-12-09,933.0,933.0,933.0,933.0,0,Baltic_Dry_Index
2014-12-10,911.0,911.0,911.0,911.0,0,Baltic_Dry_Index
2014-12-11,887.0,887.0,887.0,887.0,0,Baltic_Dry_Index
2014-12-12,863.0,863.0,863.0,863.0,0,Baltic_Dry_Index
2014-12-15,845.0,845.0,845.0,845.0,0,Baltic_Dry_Index
2014-12-16,838.0,838.0,838.0,838.0,0,Baltic_Dry_Index
2014-12-17,827.0,827.0,827.0,827.0,0,Baltic_Dry_Index
2014-12-18,814.0,814.0,814.0,814.0,0,Baltic_Dry_Index
2014-12-19,803.0,803.0,803.0,803.0,0,Baltic_Dry_Index
2014-12-22,794.0,794.0,794.0,794.0,0,Baltic_Dry_Index
2014-12-23,788.0,788.0,788.0,788.0,0,Baltic_Dry_Index
2014-12-24,782.0,782.0,782.0,782.0,0,Baltic_Dry_Index
2015-01-02,771.0,771.0,771.0,771.0,0,Baltic_Dry_Index
2015-01-05,761.0,761.0,761.0,761.0,0,Baltic_Dry_Index
2015-01-06,758.0,758.0,758.0,758.0,0,Baltic_Dry_Index
2015-01-07,744.0,744.0,744.0,744.0,0,Baltic_Dry_Index
2015-01-08,724.0,724.0,724.0,724.0,0,Baltic_Dry_Index
2015-01-09,709.0,709.0,709.0,709.0,0,Baltic_Dry_Index
2015-01-12,723.0,723.0,723.0,723.0,0,Baltic_Dry_Index
2015-01-13,762.0,762.0,762.0,762.0,0,Baltic_Dry_Index
2015-01-14,757.0,757.0,757.0,757.0,0,Baltic_Dry_Index
2015-01-15,749.0,749.0,749.0,749.0,0,Baltic_Dry_Index
